date,symbol,price,resistance,score,grade,setup_type,breakout_strength,volume_ratio,insight,day1_return,day2_return,result
2026-03-18,NN,18.28,17.72,52.16,A+,,3.16,4.17,"Strong resistance base, clear higher lows, tight compression, heavy volume expansion, controlled breakout",0.0,-7.71,Loss
2026-03-18,OSS,11.24,10.99,41.27,B+,,2.27,3.19,"Valid resistance, clear higher lows, tight compression, heavy volume expansion, controlled breakout",0.0,-4.89,Loss
2026-03-18,ADTN,11.71,11.1,38.59,B,,5.5,1.82,"Valid resistance, clear higher lows, tight compression, volume confirmation, strong momentum breakout",0.0,-7.86,Loss
2026-03-19,PTGX,101.68,99.5,54.19,A+,,Compression Breakout,2.19,3.82,-4.51,-4.38,Loss
2026-03-19,INTZ,1.23,1.21,45.65,A,,Compression Breakout,1.65,5.1,-13.82,-12.2,Loss
2026-03-19,ETON,20.8,19.98,45.1,A,,Momentum Breakout,4.1,3.69,-8.56,-9.04,Loss
2026-03-19,TERN,49.060001,48.14,42.31,B+,,Compression Breakout,1.91,1.48,-2.61,-5.28,Loss
2026-03-19,FIVE,235.2,229.33,39.56,B,,Compression Breakout,2.56,6.33,-9.66,-9.01,Loss
2026-03-19,TNGX,19.32,18.97,39.38,B,,Compression Breakout,1.85,1.51,-3.31,-3.31,Loss
2026-03-19,INV,4.065,4.0,39.36,B,,Compression Breakout,1.63,1.35,-7.75,-4.8,Loss
2026-03-19,VSAT,52.12,51.0,37.77,B,,Compression Breakout,2.2,1.72,-6.77,-3.72,Loss
2026-03-19,EPSN,6.04,5.91,37.46,B,,Compression Breakout,2.2,1.65,-3.97,-3.48,Loss
2026-03-19,PTGX,101.68,99.5,50.6,A+,Compression Breakout,2.19,2.28,"Strong resistance base, clear higher lows, tight compression, heavy volume expansion, controlled breakout",-4.51,-4.38,Loss
2026-03-19,GLNG,50.96,48.0,44.17,B+,Momentum Breakout,6.17,3.59,"Strong resistance base, clear higher lows, tight compression, heavy volume expansion, strong momentum breakout",-5.85,-9.12,Loss
2026-03-19,TERN,49.060001,48.14,42.31,B+,Compression Breakout,1.91,1.48,"Strong resistance base, clear higher lows, tight compression, volume confirmation, controlled breakout",-2.61,-5.28,Loss
2026-03-19,ETON,20.77,19.98,40.25,B+,Compression Breakout,3.95,2.06,"Valid resistance, clear higher lows, tight compression, heavy volume expansion, controlled breakout",-8.43,-8.91,Loss
2026-03-19,FIVE,235.17,229.33,39.55,B,Compression Breakout,2.55,3.58,"Valid resistance, clear higher lows, tight compression, heavy volume expansion, controlled breakout",-9.65,-9.0,Loss
2026-03-19,INV,4.065,4.0,39.36,B,Compression Breakout,1.63,1.35,"Strong resistance base, clear higher lows, tight compression, volume confirmation, controlled breakout",-7.75,-4.8,Loss
2026-03-19,VSAT,52.12,51.0,37.77,B,Compression Breakout,2.2,1.72,"Strong resistance base, clear higher lows, tight compression, volume confirmation, controlled breakout",-6.77,-3.72,Loss
2026-03-19,BCRX,9.81,9.6,33.52,C,Compression Breakout,2.19,1.47,"Valid resistance, clear higher lows, tight compression, volume confirmation, controlled breakout",-6.63,-6.12,Loss
